좌표정보(x),좌표정보(y),경도,위도
147994.2651,-4276.599384,126.43854790866982,33.456603621199285
147994.2651,-4276.599384,126.43854790866982,33.456603621199285
186734.7064,2826.983753,126.85513852978615,33.521830988142796
186516.4117,2988.293922,126.8527863079067,33.52328261009767
145213.3963,-1207.015501,126.40845025691809,33.48413898623487
176813.4863,6465.702126,126.74824971195513,33.55446756628781
137175.6431,-3386.805041,126.32212512538747,33.46404544151133
186641.9271,2986.479152,126.8541374396475,33.52326782992906
144963.6976,-2447.132358,126.40583985654241,33.47294583131647
186788.4007,2743.432713,126.85571774734929,33.52107836398326
136892.8056,-3810.247057,126.31911258836058,33.46021129832031
136767.2162,-3289.624995,126.31772507421623,33.46489751555255
186410.7079,2998.907626,126.85164830276769,33.52337695915876
145226.1403,-1119.192932,126.40858200361592,33.48493140735331
144247.8477,-1625.90769,126.39808791814802,33.48031256083894
144262.9955,-1623.464061,126.39825073498089,33.48033538074796
144573.2675,-1539.677767,126.40158364186415,33.481106879259976
144665.2267,-1428.278425,126.40256612533543,33.48211596508812
136576.3858,-3291.16669,126.31567251626221,33.46487232839909
136635.3141,-3288.716923,126.31630620521827,33.46489790345542
186618.6844,3023.142143,126.85388669474858,33.523598089529656
186851.8051,2719.300179,126.85640059946311,33.52086157099667
186604.666,2990.318955,126.85373628670789,33.52330198135862
144375.2655,-1643.815716,126.39945986353278,33.48015774284429
176748.2905,6478.789326,126.74754732622203,33.55458413757312
145226.1403,-1119.192932,126.40858200361592,33.48493140735331
145160.8884,-1113.955597,126.40787962712736,33.48497528137529
142998.6849,-9853.677515,126.38517088854664,33.40606871711465
144665.2267,-1428.278425,126.40256612533543,33.48211596508812
144282.5062,-1655.667938,126.39846264382567,33.48004606182349
141064.2366,-2593.064583,126.36390050271797,33.47142253541599
145098.9283,-1155.543351,126.40721553522773,33.484597166721045
145554.9996,-919.7167622,126.4121081395301,33.48674658455101
142750.9883,-9448.437076,126.38248251751801,33.40970902050067
190066.1273,-393.8258008,126.89103477646499,33.49282854339431
186704.083,3205.521226,126.85480324860774,33.52524347808421
143470.6006,-3184.22536,126.38982407871427,33.46622271148865
185020.6293,3659.578682,126.83667376786183,33.529314883086116
189076.8511,2469.665285,126.88035441155522,33.5186360274692
139743.4928,-3059.203711,126.3497240599324,33.467146529340944
139467.6878,-3173.54553,126.34676498275255,33.466100123661825
143512.4647,-3025.06816,126.39026438180466,33.46765980997154
147087.4804,-5800.728755,126.42888461649234,33.44281820791142
145656.5748,-1121.778992,126.4132132796899,33.484930047763974
176697.8283,6463.828439,126.74700432677531,33.55444815021089
147528.2969,-3452.546105,126.43348790001204,33.464010240392014
144262.9955,-1623.464061,126.39825073498089,33.48033538074796
180081.758,-2787.235006,126.78364958656927,33.47110992918206
144609.6588,-1514.719998,126.40197362218348,33.48133377186671
145914.554,-711.7771426,126.41596418063341,33.48863951791695
140155.4819,-1812.853558,126.3540726064098,33.47840607510979
141277.4656,-1866.080093,126.36614669181792,33.47798837712043
145509.3345,-946.0513732,126.41161841172536,33.48650683806292
177136.9508,6619.983538,126.7517289046088,33.555865533009616
141210.2053,-2524.306927,126.36546624109928,33.47205044767351
138420.3367,-3088.317597,126.3354930937031,33.46680875620772
145423.9904,-4084.213446,126.4108911308037,33.458210172809935
186704.083,3205.521226,126.85480324860774,33.52524347808421
180941.1776,6593.562467,126.79269508165945,33.55570218715618
145595.8099,-1344.779628,126.41257303486763,33.48291648454242
138264.736,-3054.119565,126.33381697889413,33.46710810437966
144151.8149,-1670.573966,126.39705752458289,33.47990486167592
143857.0624,-1367.34391,126.39386743399126,33.48262321342018
135500.6638,-4796.394297,126.30420969730004,33.45123783125722
144994.3598,-1123.289364,126.4060884905904,33.48488258169964
140700.6241,-1934.716371,126.35994544592246,33.47733777522157
144653.7729,-1591.91867,126.40245299906164,33.48064006718731
141855.4647,-1432.739988,126.37233683690974,33.4819267171466
137126.0984,-3129.87513,126.32157419900096,33.46635886485268
145274.7237,-996.2144556,126.40909721160399,33.486042612231536
135621.8835,-4715.667329,126.30550760129098,33.451972910512794
135972.686,-3908.647265,126.30922288292352,33.45926955719738
147541.6359,-5052.480099,126.43372489789411,33.449586485571295
172973.9783,6347.124017,126.70690861329862,33.55330803055959
186537.7346,2776.518995,126.85301903314179,33.521373529209406
148261.5885,-3737.787969,126.44139210149639,33.46147429949216
145470.7929,-1467.62073,126.41123545902256,33.48180263841791
186510.1451,3462.247985,126.8527116832421,33.527555671259606
135999.0489,-8514.76203,126.30983454222289,33.41774498391585
139893.0624,-2574.095384,126.35130045356857,33.471528418424505
145509.3345,-946.0513732,126.41161841172536,33.48650683806292
181225.1767,6492.287105,126.79575544090095,33.5547941470341
135543.4806,-5089.989736,126.30469125697168,33.44859352436756
186516.4117,2988.293922,126.8527863079067,33.52328261009767
136635.3141,-3288.716923,126.31630620521827,33.46489790345542
136767.2162,-3289.624995,126.31772507421623,33.46489751555255
186802.7215,2715.899587,126.85587230635286,33.520830304358135
144247.8477,-1625.90769,126.39808791814802,33.48031256083894
186532.0864,2990.173178,126.85295500909173,33.5232997516908
186604.666,2990.318955,126.85373628670789,33.52330198135862
136721.4295,-3350.638929,126.31723687225637,33.464344744271216
144625.2619,-1466.078674,126.40213848677926,33.48177310745553
145213.3963,-1207.015501,126.40845025691809,33.48413898623487
145226.1403,-1119.192932,126.40858200361592,33.48493140735331
145554.9996,-919.7167622,126.4121081395301,33.48674658455101
145213.3963,-1207.015501,126.40845025691809,33.48413898623487
