번호,관리번호,지정일자,해제일자,운영상태,읍면동명,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보(X),좌표정보(Y)
328,6510000-S199400020,2019.2.21,,사용중,,삼주아파트102(지하 1층),공공용시설,"제주특별자치도 제주시 천수로8길 18 (일도이동, 일도삼주아파트)",제주특별자치도 제주시 일도이동 47번지 삼주아파트 102동,63258,지하,569.2,689,2023.4.11 12:04,I,2023.7.28 1:14,33,30,14,126,32,35.15,33.5037831,126.542677,911080.9321,1501733.699
329,6510000-S199400023,2020.3.31,,사용중,,부양장미아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 가령골길 20 (일도이동, 장미1차아파트)",제주특별자치도 제주시 일도이동 391번지 4호,63275,지하,445.47,539,2023.4.11 12:06,I,2023.7.28 1:14,33,30,15.71,126,32,26.1,33.50462975,126.5406137,910890.1516,1501829.341
330,6510000-S199500001,2019.2.21,,사용중,,대림1차아파트102동(지하 1층),공공용시설,"제주특별자치도 제주시 태성로 31 (일도이동, 일도대림1차아파트)",제주특별자치도 제주시 일도이동 113번지 4호,63262,지하,494,598,2023.4.11 12:07,I,2023.7.28 1:14,33,30,3.57,126,33,2.45,33.50043476,126.5492584,911688.8593,1501356.833
331,6510000-S201400001,2019.2.18,,사용중,,제주융합과학연구원(지하 1층),공공용시설,"제주특별자치도 제주시 산록북로 421, 제주교육과학연구원 (오라이동)",제주특별자치도 제주시 오라이동 산 100번지 제주교육과학연구원,63144,지하,1076.1,1304,2023.6.14 9:40,I,2023.7.28 1:14,33,25,34.48,126,31,54.62,33.42610348,126.5317584,909986.4783,1493130.406
332,6510000-S201300004,2013.3.26,,사용중,,극동오벨리스크3차(지하주차장 1층),공공용시설,"제주특별자치도 제주시 고전길 5 (이도일동, 극동오벨리스크3차)",제주특별자치도 제주시 이도일동 1708번지 4호,63194,지하,1434,1738,2023.4.29 13:47,I,2023.7.28 1:14,33,30,23.59,126,31,31.93,33.50642212,126.5256199,909499.3073,1502041.046
333,6510000-S201400002,2014.5.9,,사용중,한림읍,라온프라이빗 타운(지하주차장 1층),공공용시설,제주특별자치도 제주시 한림읍 금능남로 127,제주특별자치도 제주시 한림읍 협재리 2838,63015,지하,3875,4696,2023.4.14 8:04,I,2023.7.28 1:14,33,22,38.28,126,14,21.86,33.37730052,126.2394068,882740.6387,1488010.494
334,6510000-S201400005,2014.5.7,,사용중,,삼화부영아파트3차(지하주차장 1층),공공용시설,"제주특별자치도 제주시 화삼로 167 (삼양이동, 제주삼화사랑으로부영3차)",제주특별자치도 제주시 삼양이동 2318번지,63322,지하,11102,13456,2023.5.1 13:26,I,2023.7.28 1:14,33,31,9.06,126,35,5.84,33.51871722,126.5854828,915071.5923,1503353.662
335,6510000-S201400006,2014.5.7,,사용중,,미듬하나로아파트(지하 1층),공공용시설,제주특별자치도 제주시 삼봉로 115-1 (도련이동),제주특별자치도 제주시 도련이동 1789번지 2호,,지하,970,1175,2021.12.31 15:53,I,2023.7.28 1:14,33,30,39.8,126,35,25.12,33.51114831,126.5897759,915462.9362,1502510.954
336,6510000-S201400007,2014.4.30,,사용중,,제주아라스위첸아파트(지하주차장 2층),공공용시설,"제주특별자치도 제주시 아란9길 22 (아라일동, 제주아라 KCC스위첸)",제주특별자치도 제주시 아라일동 6088번지,63237,지하,16804,20368,2021.12.31 15:55,I,2023.7.28 1:14,33,28,22.18,126,32,36.36,33.47277165,126.5429604,911075.5607,1498295.064
337,6510000-S201400008,2014.4.30,,사용중,,아라아이파크(지하주차장 1층~2층),공공용시설,"제주특별자치도 제주시 인다1길 20 (아라일동, 아라아이파크)",제주특별자치도 제주시 아라일동 6121 아라아이파크,63247,지하,24434,29616,2023.5.6 8:24,I,2023.7.28 1:14,33,28,34.34,126,33,3.5,33.47620472,126.5509724,911823.515,1498668.874
