번호,관리번호,지정일자,해제일자,운영상태,읍면동명,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보(X),좌표정보(Y)
375,6510000-S199501033,1995.12.31,,사용중,,도남무지개아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 도남로 125, 지하1층 (도남동, 도남무지개아파트)",제주특별자치도 제주시 도남동 69 도남무지개아파트(지하주차장 1층),63221,지하,1206,1461,2023.6.9 17:48,I,2023.7.28 1:14,33,29,22.94,126,31,46.42,33.48976816,126.5296021,909851.9208,1500191.068
376,6510000-S199301016,1993.12.31,,사용중,,영산홍주택 102동(지하 1층),공공용시설,"제주특별자치도 제주시 승천로 27, 102동 지하 1층 (이도이동, 영산홍주택)",제주특별자치도 제주시 이도이동 405 영산홍주택(지하1층) 102동,63226,지하,747.1,905,2023.6.9 17:09,I,2023.7.28 1:14,33,29,44.37,126,32,23.52,33.49565962,126.5398655,910811.4527,1500835.419
377,6510000-S199101006,1991.7.12,,사용중,,조천읍사무소(지하 1층),공공용시설,제주특별자치도 제주시 조천읍 신북로 194,제주특별자치도 제주시 조천읍 3147번지 2호,63331,지하,231.41,280,2023.4.29 10:07,I,2023.7.28 1:14,33,32,5.48,126,38,3.15,33.53483892,126.6340032,919592.5948,1505102.481
378,6510000-S199000003,2020.3.19,,사용중,,영락교회(지하 1층),공공용시설,"제주특별자치도 제주시 동광로23길 15 (일도이동, 제주영락교회)",제주특별자치도 제주시 일도이동 153번지 5호,63251,지하,265.28,321,2023.4.11 11:54,I,2023.7.28 1:14,33,30,39.87,126,32,35.18,33.51113597,126.5434273,911158.1402,1502548.308
379,6510000-S200300032,2019.3.4,,사용중,,이화오피스텔(지하주차장 1층~3층),공공용시설,"제주특별자치도 제주시 도령로 50 (노형동, 이화오피스텔)",제주특별자치도 제주시 노형동 906번지 1호,63081,지하,2370,2872,2023.6.12 10:55,I,2023.7.28 1:14,33,29,18.37,126,29,2.58,33.48850381,126.4840861,905622.0341,1500091.331
380,6510000-S200300047,2019.2.20,,사용중,,노형맨션(지하주차장 1층),공공용시설,제주특별자치도 제주시 정존3길 12 (노형동),제주특별자치도 제주시 노형동 2523번지 4호,63103,지하,200,242,2023.4.17 11:37,I,2023.7.28 1:14,33,28,58.81,126,28,24.03,33.48290042,126.4731795,904602.6303,1499480.018
381,6510000-S200300054,2019.3.6,,사용중,,대림아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 다랑곶4길 9 (노형동, 대림아파트)",제주특별자치도 제주시 노형동 1290번지 1호,63098,지하,1652.9,2003,2023.4.17 11:43,I,2023.7.28 1:14,33,29,15.9,126,28,48.6,33.48784896,126.4805071,905288.8209,1500021.982
382,6510000-S201100037,2019.2.21,,사용중,,뜨란채아파트(지하주차장 1층),공공용시설,제주특별자치도 제주시 수덕로 44 (노형동),제주특별자치도 제주시 노형동 2583번지 1호,63101,지하,15045.35,18236,2023.4.17 12:10,I,2023.7.28 1:14,33,29,18.57,126,28,15.73,33.48641411,126.4725151,904544.7606,1499870.212
383,6510000-S201100043,2019.2.22,,사용중,,노형 이편한세상아파트(지하주차장 1층),공공용시설,제주특별자치도 제주시 수덕로 78 (노형동),제주특별자치도 제주시 노형동 2585번지 2호,63104,지하,11565.2,14018,2023.4.17 12:11,I,2023.7.28 1:14,33,29,8.16,126,28,9.79,33.48417887,126.4697361,904284.1081,1499624.935
384,6510000-S199300002,2020.2.13,,사용중,,남양아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 천수로9길 9 (일도이동, 남양아파트)",제주특별자치도 제주시 일도이동 409번지 10호,63255,지하,731.38,886,2023.4.11 11:56,I,2023.7.28 1:14,33,30,19.14,126,32,31.1,33.50525354,126.5418885,911009.2017,1501897.41
385,6510000-S199701008,1997.1.1,,사용중,,신세계아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 오현길 9 (이도일동, 신세계아파트)",제주특별자치도 제주시 이도일동 1692번지 2호,63194,지하,2356,2855,2023.4.29 13:50,I,2023.7.28 1:14,33,30,23.42,126,31,38.55,33.50634767,126.527644,909687.2382,1502031.027
386,6510000-S199700004,1997.1.1,,사용중,,삼성2차 미화아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 오현길 24 (이도일동, 삼성2차미화아파트)",제주특별자치도 제주시 이도일동 1694번지 1호,63195,지하,560,678,2023.4.29 13:45,I,2023.7.28 1:14,33,30,27.01,126,31,37.55,33.50743347,126.5270581,909633.9445,1502151.926
387,6510000-S200100016,2019.2.25,,사용중,,연동대일아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 성신로 16 (연동, 연동대일아파트)",제주특별자치도 제주시 연동 2319번지 5호,63127,지하,535.54,649,2023.4.13 11:21,I,2023.7.28 1:14,33,29,29.73,126,29,8.98,33.49130652,126.4855852,905764.3463,1500400.721
388,6510000-S200300056,2019.2.21,,사용중,,대림2차 이편한세상아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 연화로 25 (연동, 대림2차아파트)",제주특별자치도 제주시 연동 1399번지 1호,63138,지하,560,678,2023.4.13 11:25,I,2023.7.28 1:14,33,28,45.18,126,29,15.74,33.47955946,126.4874368,905923.6543,1499096.581
389,6510000-S200300058,2019.2.27,,사용중,,남주아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 도령로11길 25 (연동, 남주아파트)",제주특별자치도 제주시 연동 2317번지 1호,63127,지하,872.73,1057,2023.4.13 11:26,I,2023.7.28 1:14,33,29,33.53,126,29,10.13,33.49253873,126.4860714,905810.8431,1500536.902
390,6510000-S201100009,2019.2.21,,사용중,,디지털한빛아파트 101동(지하주차장 1층),공공용시설,"제주특별자치도 제주시 연동4길 32 (연동, 디지털한빛아파트)",제주특별자치도 제주시 연동 257번지,63137,지하,527.52,639,2023.4.13 11:26,I,2023.7.28 1:14,33,28,59.35,126,29,15.13,33.48305943,126.4871942,905904.9001,1499484.861
391,6510000-S201100011,2019.2.8,,사용중,,삼무파크빌(지하주차장 1층~2층),공공용시설,"제주특별자치도 제주시 도령로 128 (연동, 삼무파크빌)",제주특별자치도 제주시 연동 280번지 15호,63118,지하,1300.02,1575,2023.4.13 11:27,I,2023.7.28 1:14,33,29,33.68,126,29,28.03,33.4926133,126.4909607,906265.1356,1500540.745
392,6510000-S201100013,2019.2.28,,사용중,,연동학산맨션(지하주차장 1층),공공용시설,"제주특별자치도 제주시 신광로1길 10 (연동, 연동학산맨션)",제주특별자치도 제주시 연동 290번지 2호,63118,지하,1148.46,1392,2023.4.13 11:36,I,2023.7.28 1:14,33,29,35.55,126,29,37.51,33.49307599,126.4937981,906529.2289,1500589.488
393,6510000-S201100018,2019.2.28,,사용중,,다울하우스(지하주차장 1층),공공용시설,"제주특별자치도 제주시 노연로 61 (연동, 다울하우스)",제주특별자치도 제주시 연동 252번지 14호,63131,지하,591.32,716,2023.4.13 11:40,I,2023.7.28 1:14,33,29,10.18,126,29,12.46,33.48610035,126.4867988,905871.4572,1499822.383
394,6510000-S201100019,2019.2.19,,사용중,,벽강하이본타워 아파트(지하주차장 1층~2층),공공용시설,"제주특별자치도 제주시 신대로22길 40 (연동, 벽강하이본타워)",제주특별자치도 제주시 연동 279번지 2호,63136,지하,1334.84,1617,2023.4.13 11:40,I,2023.7.28 1:14,33,28,57.15,126,29,28.17,33.48247859,126.4912003,906276.4768,1499416.837
395,6510000-S201100021,2019.2.22,,사용중,,시스빌아파트(지하주차장 1층~2층),공공용시설,"제주특별자치도 제주시 연동11길 39 (연동, 시스빌)",제주특별자치도 제주시 연동 293번지 13호,63123,지하,796.31,965,2023.4.13 11:41,I,2023.7.28 1:14,33,29,10.35,126,29,36.05,33.48618123,126.4932816,906473.827,1499825.492
396,6510000-S201100028,2019.2.28,,사용중,,연동리치빌아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 도령북길 22 (연동, 연동리치빌아파트)",제주특별자치도 제주시 연동 2314번지 1호,63126,지하,418.34,507,2023.4.13 11:46,I,2023.7.28 1:14,33,29,35.07,126,29,12.72,33.49307544,126.4868196,905880.9319,1500595.732
397,6510000-S199301017,1993.12.31,,사용중,,영산홍주택 103동(지하 1층),공공용시설,"제주특별자치도 제주시 승천로 27, 103동 지하 1층 (이도이동, 영산홍주택)",제주특별자치도 제주시 이도이동 405 영산홍주택(지하1층) 103동,63226,지하,489,592,2023.6.9 17:09,I,2023.7.28 1:14,33,29,44.37,126,32,23.52,33.49565962,126.5398655,910811.4527,1500835.419
398,6510000-S199301020,1993.12.31,,사용중,,영산홍주택 106동(지하 1층),공공용시설,"제주특별자치도 제주시 승천로 27, 106동 지하1층 (이도이동, 영산홍주택)",제주특별자치도 제주시 이도이동 405 영산홍주택(지하1층) 106동,63226,지하,489,592,2023.6.9 17:12,I,2023.7.28 1:14,33,29,44.37,126,32,23.52,33.49565962,126.5398655,910811.4527,1500835.419
399,6510000-S199301021,1993.12.31,,사용중,,영산홍주택 107동(지하 1층),공공용시설,"제주특별자치도 제주시 승천로 27, 107동 지하1층 (이도이동, 영산홍주택)",제주특별자치도 제주시 이도이동 405 영산홍주택(지하1층) 107동,63226,지하,618.2,749,2023.6.9 17:12,I,2023.7.28 1:14,33,29,48.04,126,32,26.31,33.49565962,126.5398655,910811.4527,1500835.419
400,6510000-S199301023,1993.12.31,,사용중,,영산홍주택 109동(지하 1층),공공용시설,"제주특별자치도 제주시 승천로 27, 109동 지하1층 (이도이동, 영산홍주택)",제주특별자치도 제주시 이도이동 405 영산홍주택(지하 1층) 109동,63226,지하,363,440,2023.6.9 17:14,I,2023.7.28 1:14,33,29,44.37,126,32,23.52,33.49565962,126.5398655,910811.4527,1500835.419
401,6510000-S199401014,1995.2.1,,사용중,,혜성무지개타운 101동(지하 1층),공공용시설,"제주특별자치도 제주시 남광로 65, 101동 지하1층 (이도이동, 혜성무지개타운)",제주특별자치도 제주시 이도이동 438 혜성무지개타운(지하1층) 101동,63226,지하,671.1,813,2023.6.9 17:25,I,2023.7.28 1:14,33,29,44.1,126,32,31.51,33.49558217,126.5420853,911017.5848,1500824.927
402,6510000-S199401015,1995.2.1,,사용중,,혜성무지개타운 102동(지하 1층),공공용시설,"제주특별자치도 제주시 남광로 65, 102동 지하1층 (이도이동, 혜성무지개타운)",제주특별자치도 제주시 이도이동 438 혜성무지개타운(지하1층) 102동,63226,지하,449,544,2023.6.9 17:26,I,2023.7.28 1:14,33,29,44.1,126,32,31.51,33.49558217,126.5420853,911017.5848,1500824.927
403,6510000-S199401019,1995.2.1,,사용중,,혜성무지개타운106동(지하 1층),공공용시설,"제주특별자치도 제주시 남광로 65, 106동 지하1층 (이도이동, 혜성무지개타운)",제주특별자치도 제주시 이도이동 438 혜성무지개타운(지하1층) 106동,63226,지하,562,681,2023.6.9 17:30,I,2023.7.28 1:14,33,29,44.1,126,32,31.51,33.49558217,126.5420853,911017.5848,1500824.927
404,6510000-S199401021,1995.2.1,,사용중,,혜성무지개타운108동(지하 1층),공공용시설,"제주특별자치도 제주시 남광로 65, 108동 지하1층 (이도이동, 혜성무지개타운)",제주특별자치도 제주시 이도이동 438 혜성무지개타운(지하1층) 108동,63226,지하,337.2,408,2023.6.9 17:34,I,2023.7.28 1:14,33,29,44.1,126,32,31.51,33.49558217,126.5420853,911017.5848,1500824.927
405,6510000-S200300051,2019.3.4,,사용중,,하와이오피스텔(지하주차장 1층),공공용시설,"제주특별자치도 제주시 도령로 40 (노형동, 하와이오피스텔)",제주특별자치도 제주시 노형동 905번지 3호,63081,지하,1745,2115,2023.5.1 16:46,I,2023.7.28 1:14,33,29,16.5,126,29,1.7,33.4880147,126.4832603,905544.7806,1500037.851
406,6510000-S201100001,2019.3.4,,사용중,,부영2차아파트(지하주차장 1층),공공용시설,제주특별자치도 제주시 과원로 11 (노형동),제주특별자치도 제주시 노형동 754번지 4호,63090,지하,9200,11151,2023.4.17 11:46,I,2023.7.28 1:14,33,28,38.24,126,29,6.75,33.47647223,126.4846896,905665.0555,1498756.774
407,6510000-S201100004,2019.3.11,,사용중,,정든마을1단지(지하주차장 1층),공공용시설,제주특별자치도 제주시 정존11길 54 (노형동),제주특별자치도 제주시 노형동 2582번지 4호,63100,지하,3625,4393,2023.4.17 11:47,I,2023.7.28 1:14,33,29,17.9,126,28,23.34,33.48787727,126.4731196,904602.5213,1500031.885
408,6510000-S200100006,2001.3.1,,사용중,,제주특별자치도의회(지하 1층),공공용시설,"제주특별자치도 제주시 문연로 13 (연동, 제주특별자치도의회)",제주특별자치도 제주시 연동 311번지 45호,63119,지하,925.62,1121,2023.4.13 11:18,I,2023.7.28 1:14,33,29,25.54,126,29,58.6,33.48983917,126.4987951,906989.9803,1500226.116
409,6510000-S201100032,2011.4.1,,사용중,,아름마을아파트(지하주차장 1층),공공용시설,제주특별자치도 제주시 우정로18길 25 (외도일동),제주특별자치도 제주시 외도일동 641번지 1호,63069,지하,1659,2010,2023.9.8 11:04,U,2023.9.10 2:40,33,29,3.38,126,25,42.1,33.48486706,126.4280367,900410.6718,1499740.456
410,6510000-S201100053,2011.11.11,,사용중,,프로빌G단지연립주택(지하주차장 1층),공공용시설,"제주특별자치도 제주시 금월길 50 (아라이동, 프로빌G단지연립주택)",제주특별자치도 제주시 아라이동 1143번지 1호,63246,지하,1020,1236,2023.5.1 13:53,I,2023.7.28 1:14,33,29,3,126,33,5.75,33.48422142,126.5517233,911901.4014,1499557.086
411,6510000-S199501034,2019.2.21,,사용중,,대림1차아파트103동(지하 1층),공공용시설,"제주특별자치도 제주시 태성로 31 (일도이동, 일도대림1차아파트)",제주특별자치도 제주시 일도이동 113번지 4호,63262,지하,494,598,2023.4.11 12:07,I,2023.7.28 1:14,33,30,3.52,126,33,2.4,33.50043476,126.5492584,911688.8593,1501356.833
412,6510000-S201700001,2017.1.6,,사용중,,제주벤처마루(지하주차장 1층~2층),공공용시설,"제주특별자치도 제주시 중앙로 217, 제주벤처마루 지하1층~지하2층 (이도이동)",제주특별자치도 제주시 이도이동 1176-67 제주벤처마루(지하주차장 1층~2층),63208,지하,3362,4075,2023.6.12 9:06,I,2023.7.28 1:14,33,30,1.14,126,31,47.99,33.50023507,126.5298392,909884.797,1501351.383
413,6510000-S201700003,2019.2.7,,사용중,,제주삼화엘에이치2단지(지하주차장 1층),공공용시설,제주특별자치도 제주시 화삼로 32 (제주삼화엘에이치2단지),제주특별자치도 제주시 화북이동 117번지,63303,지하,9410,11406,2023.6.15 16:28,I,2023.7.28 1:14,33,30,47.93,126,34,33.23,33.51400605,126.5763263,914216.5836,1502838.844
414,6510000-S201700004,2019.2.7,,사용중,,삼화사랑으로부영2차(지하주차장 1층),공공용시설,"제주특별자치도 제주시 화삼로 12 (화북이동, 삼화사랑으로부영2차아파트)",제주특별자치도 제주시 화북이동 116번지,63303,지하,12019,14568,2023.6.15 16:29,I,2023.7.28 1:14,33,30,47.43,126,34,27.4,33.51407729,126.5744702,914044.2622,1502848.279
415,6510000-S200300005,2019.2.22,,사용중,,남양빌라(지하주차장 1층),공공용시설,"제주특별자치도 제주시 용담로 17 (용담삼동, 남양빌라)",제주특별자치도 제주시 용담삼동 934번지,63150,지하,384.92,466,2021.12.31 14:40,I,2023.7.28 1:14,33,30,48.44,126,30,16.88,33.51339252,126.5047991,907572.8044,1502832.245
416,6510000-S199201018,1992.5.1,,사용중,,동명아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 일주동로 361 (삼양이동, 동명아파트)",제주특별자치도 제주시 삼양이동 2132번지 3호,63319,지하,595,721,2022.1.6 14:50,I,2023.7.28 1:14,33,31,18.07,126,35,1.83,33.52131514,126.5836825,914906.9442,1503643.182
417,6510000-S199301026,1995.12.31,,사용중,,한양아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 지석12길 5 (삼양이동, 한양아파트)",제주특별자치도 제주시 삼양이동 2180번지 16호,63321,지하,307.4,372,2022.1.6 14:53,I,2023.7.28 1:14,33,31,13.67,126,35,3.77,33.52061976,126.5843392,914967.2534,1503565.543
418,6510000-S199301027,1993.2.3,,사용중,,대유아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 선사로8길 87 (삼양일동, 대유아파트)",제주특별자치도 제주시 삼양일동 1577번지 1호,63314,지하,376.9,456,2021.12.31 12:41,I,2023.7.28 1:14,33,31,48.08,126,35,34.26,33.52986535,126.5930491,915785.0826,1504583.542
419,6510000-S199401025,1994.6.10,,사용중,,삼부장미아파트 나동(지하주차장 1층),공공용시설,"제주특별자치도 제주시 선사로6길 58 (삼양일동, 삼부장미아파트)",제주특별자치도 제주시 삼양일동 1628번지 1호,63317,지하,132.2,160,2021.12.31 13:04,I,2023.7.28 1:14,33,31,38.46,126,35,27.59,33.52736903,126.5909203,915584.9798,1504308.493
420,6510000-S200201008,2010.12.8,,사용중,,혼오름가든(지하주차장 1층),공공용시설,"제주특별자치도 제주시 서해안로 153 (도두일동, 도두1동 마을복지회관)",제주특별자치도 제주시 도두일동 2623번지 4호,63113,지하,313,379,2023.6.22 8:47,I,2023.7.28 1:14,33,30,12.86,126,27,55.55,33.50352161,126.4654971,903911.6492,1501773.498
421,6510000-S197000001,2002.1.1,,사용중,,제주시 열린정보센터(지하주차장 1층),공공용시설,"제주특별자치도 제주시 광양9길 17, 제주시열린정보센터 지하1층 (이도이동)",제주특별자치도 제주시 이도이동 1176-50 제주시열린정보센터(지하주차장 1층),63208,지하,444.2,538,2023.6.9 16:58,I,2023.7.28 1:14,33,30,1.37,126,31,53.45,33.50030359,126.5314443,910033.9624,1501357.588
422,6510000-S197100001,2012.5.1,,사용중,,한국은행(지하주차장 1층~2층),공공용시설,"제주특별자치도 제주시 복지로1길 20, 한국은행제주본부 지하주차장 1층~2층 (도남동)",제주특별자치도 제주시 도남동 669-1 한국은행제주본부(지하주차장 1층~2층),63220,지하,1542.06,1869,2023.6.13 17:02,I,2023.7.28 1:14,33,29,17.09,126,31,11.22,33.48796325,126.5199996,908957.9516,1499999.328
423,6510000-S200300013,2019.2.22,,사용중,,진영연립(지하주차장 1층),공공용시설,"제주특별자치도 제주시 용화로 37 (용담이동, 진영연립)",제주특별자치도 제주시 용담이동 614번지 4호,63157,지하,177.96,215,2021.12.31 14:41,I,2023.7.28 1:14,33,30,35.78,126,30,27.11,33.50991953,126.5075481,907824.4375,1502444.729
424,6510000-S200300015,2019.2.22,,사용중,,한양아트빌라 A동(지하주차장 1층),공공용시설,"제주특별자치도 제주시 용문로21길 32 (용담이동, 한양아트빌라)",제주특별자치도 제주시 용담이동 646번지 53호,63160,지하,280.72,340,2021.12.31 14:42,I,2023.7.28 1:14,33,30,26.47,126,30,29.33,33.50743281,126.5081148,907874.4385,1502168.51
425,6510000-S198801003,2019.2.14,,사용중,,한국병원(지하 1층),공공용시설,제주특별자치도 제주시 서광로 193 (삼도일동),제주특별자치도 제주시 삼도일동 518번지,63183,지하,1312,1590,2023.4.29 17:46,I,2023.7.28 1:14,33,30,1.39,126,31,0.33,33.50013434,126.5171037,908701.6832,1501351.344
426,6510000-S200300017,2019.2.22,,사용중,,한라아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 흥운길 16-1 (용담이동, 한라아파트)",제주특별자치도 제주시 용담이동 356번지 1호,63156,지하,841.33,1019,2023.5.1 20:28,I,2023.7.28 1:14,33,30,36.88,126,30,42.2,33.5104037,126.5116711,908207.895,1502494.757
427,6510000-S200300018,2019.2.22,,사용중,,용화빌라(지하주차장 1층),공공용시설,"제주특별자치도 제주시 용화로 5 (용담이동, 용화빌라)",제주특별자치도 제주시 용담이동 884번지 11호,63158,지하,165.28,200,2021.12.31 14:43,I,2023.7.28 1:14,33,30,36.38,126,30,14.66,33.5100531,126.5040855,907502.9687,1502462.621
428,6510000-S200300004,2019.2.22,,사용중,,남양맨션 다동(지하주차장 1층),공공용시설,"제주특별자치도 제주시 용화로5길 13 (용담이동, 남양맨션)",제주특별자치도 제주시 용담이동 609번지 3호,63157,지하,251.11,304,2021.12.31 14:39,I,2023.7.28 1:14,33,30,39.91,126,30,22.54,33.51117251,126.5063784,907717.1256,1502584.694
429,6510000-S201100054,2011.11.11,,사용중,,성안교회(지하 1층),공공용시설,"제주특별자치도 제주시 중앙로 470 (아라일동, 제주성안교회)",제주특별자치도 제주시 아라일동 2349번지 1호,63236,지하,5459,6616,2023.6.21 17:47,I,2023.7.28 1:14,33,28,51.86,126,32,29.68,33.4811433,126.5418084,910977.0888,1499224.256
430,6510000-S199701013,1997.6.2,,사용중,,미화아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 아란12길 8 (아라일동, 아라미화아파트)",제주특별자치도 제주시 아라일동 6075번지 2호,63238,지하,1857,2250,2021.12.31 14:28,I,2023.7.28 1:14,33,28,13.6,126,32,41.22,33.47041016,126.5450231,911264.8229,1498031.472
431,6510000-S200400001,2019.2.27,,사용중,,대기고등학교 본관(지하 1층),공공용시설,"제주특별자치도 제주시 번영로 453-6 (봉개동, 대기고등학교)",제주특별자치도 제주시 봉개동 1800번지,63328,지하,1193.64,1446,2023.4.7 14:19,I,2023.7.28 1:14,33,29,37.03,126,35,33.67,33.49288381,126.5918089,915634.0354,1500484.232
432,6510000-S199700006,1997.1.1,,사용중,,대한항공 제주지점(지하주차장 1층),공공용시설,"제주특별자치도 제주시 중앙로 150 (이도일동, 대한항공빌딩)",제주특별자치도 제주시 이도일동 1690번지 8호,63198,지하,2921,3540,2023.5.4 15:08,I,2023.7.28 1:14,33,30,18.69,126,31,32.03,33.50529993,126.525645,909500.4692,1501916.6
433,6510000-S200300007,2019.2.22,,사용중,,영보맨션 나동(지하주차장 1층),공공용시설,"제주특별자치도 제주시 용화로5길 7 (용담이동, 영보맨션)",제주특별자치도 제주시 용담이동 609번지 2호,63157,지하,339,410,2021.12.31 14:41,I,2023.7.28 1:14,33,30,37.84,126,30,21.78,33.51051805,126.5062288,907702.537,1502512.264
434,6510000-S199001016,1990.1.1,,사용중,,사라미화맨션(지하주차장 1층),공공용시설,"제주특별자치도 제주시 사라봉7길 20 (건입동, 사라2차미화맨션)",제주특별자치도 제주시 건입동 672번지 5호,63283,지하,404.72,490,2021.12.31 12:02,I,2023.7.28 1:14,33,30,59.58,126,32,22.56,33.51642298,126.5396527,910812.9867,1503137.746
435,6510000-S201400014,2014.8.1,,사용중,,건입미화아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 동문로21길 4-7 (건입동, 건입미화아파트)",제주특별자치도 제주시 건입동 1044번지 8호,63282,지하,1374.13,1665,2021.12.31 15:59,I,2023.7.28 1:14,33,30,53.76,126,32,14.92,33.514559,126.537577,910618.2928,1502932.862
436,6510000-S201400015,2014.7.31,,사용중,,그린스페이스 휴(지하주차장 1층),공공용시설,"제주특별자치도 제주시 연삼로 612-2 (건입동, 그린스페이스휴)",제주특별자치도 제주시 건입동 25번지,63306,지하,1585.67,1922,2021.12.31 16:13,I,2023.7.28 1:14,33,30,18.53,126,33,13.65,33.5051065,126.5538774,912122.6367,1501870.891
437,6510000-S200500004,2005.10.20,,사용중,,수정맨션(지하주차장 1층),공공용시설,"제주특별자치도 제주시 우령4길 2 (외도일동, 수정맨션)",제주특별자치도 제주시 외도일동 497번지 27호,63069,지하,358.92,435,2023.9.8 10:57,U,2023.9.10 2:40,33,29,18.71,126,25,48.37,33.48855736,126.4301421,900610.501,1500147.606
438,6510000-S202200003,2022.10.12,,사용중,,서진태영아트빌(지하1층),공공용시설,"제주특별자치도 제주시 고마로19길 19(일도이동, 서진,태영아트빌)","제주특별자치도 제주시 일도이동 406 서진,태영아트빌",63255,지하,1573.13,1906,2023.5.31 11:26,I,2023.7.28 1:14,33,30,21.08,126,32,34.35,33.50573218,126.5431767,911129.3404,1501949.375
439,6510000-S199501004,1995.6.1,,사용중,,인구보건복지협회 제주지회(지하 1층),공공용시설,제주특별자치도 제주시 신대로13길 21 (연동),제주특별자치도 제주시 연동 312번지 49호,63122,지하,213.12,258,2023.4.13 11:05,I,2023.7.28 1:14,33,29,16.17,126,29,55.97,33.48776995,126.4988821,906995.8438,1499996.612
440,6510000-S199501007,2019.2.28,,사용중,,제주현대오피스텔(지하주차장 1층~3층),공공용시설,"제주특별자치도 제주시 도령로 87 (연동, 현대오피스텔)",제주특별자치도 제주시 연동 2324번지 5호,63127,지하,3477.7,4215,2023.4.13 11:08,I,2023.7.28 1:14,33,29,27.16,126,29,14.41,33.49077833,126.4872296,905916.5322,1500340.667
441,6510000-S199501008,2019.2.21,,사용중,,신성오피스텔(지하주차장 1층),공공용시설,"제주특별자치도 제주시 노연로 62 (연동, 신성오피스텔)",제주특별자치도 제주시 연동 253번지 5호,63132,지하,542,656,2023.4.13 11:09,I,2023.7.28 1:14,33,29,8.72,126,29,12.12,33.48581648,126.4867579,905867.3494,1499790.945
442,6510000-S199501012,2019.2.27,,사용중,,제주호텔 비앤비(지하주차장 1층),공공용시설,제주특별자치도 제주시 삼무로3길 48 (연동),제주특별자치도 제주시 연동 271번지 4호,63125,지하,733.89,889,2023.4.13 11:09,I,2023.7.28 1:14,33,29,26.11,126,29,26.25,33.49056077,126.4907817,906246.2999,1500313.332
